field_id	title	notes
23000	1gG antigen for Herpes Simplex virus-1	Measured level of 1gG antigen for HSV-1 (Herpes Simplex virus-1).
23001	2mgG unique antigen for Herpes Simplex virus-2	Measured level of 2mgG unique antigen for HSV-2 (Herpes Simplex virus-2).
23002	gE / gI antigen for Varicella Zoster Virus 	Measured level of gE / gI antigen for VZV (Varicella Zoster Virus ).
23003	VCA p18 antigen for Epstein-Barr Virus	Measured level of VCA p18 antigen for EBV (Epstein-Barr Virus).
23004	EBNA-1 antigen for Epstein-Barr Virus	Measured level of EBNA-1 antigen for EBV (Epstein-Barr Virus).
23005	ZEBRA antigen for Epstein-Barr Virus	Measured level of ZEBRA antigen for EBV (Epstein-Barr Virus).
23006	EA-D antigen for Epstein-Barr Virus	Measured level of EA-D antigen for EBV (Epstein-Barr Virus).
23007	pp150 Nter antigen for Human Cytomegalovirus	Measured level of pp150 Nter antigen for CMV (Human Cytomegalovirus).
23008	pp 52 antigen for Human Cytomegalovirus	Measured level of pp 52 antigen for CMV (Human Cytomegalovirus).
23009	pp 28 antigen for Human Cytomegalovirus	Measured level of pp 28 antigen for CMV (Human Cytomegalovirus).
23010	IE1A antigen for Human Herpesvirus-6	Measured level of IE1A antigen for HHV-6 (Human Herpesvirus-6).
23011	IE1B antigen for Human Herpesvirus-6	Measured level of IE1B antigen for HHV-6 (Human Herpesvirus-6).
23012	p101 k antigen for Human Herpesvirus-6	Measured level of p101 k antigen for HHV-6 (Human Herpesvirus-6).
23013	U14 antigen for Human Herpesvirus-7	Measured level of U14 antigen for HHV-7 (Human Herpesvirus-7).
23014	LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus	Measured level of LANA antigen for KSHV (Kaposi's Sarcoma-Associated Herpesvirus).
23015	K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus	Measured level of K8.1 antigen for KSHV (Kaposi's Sarcoma-Associated Herpesvirus).
23016	HBc antigen for Hepatitis B Virus	Measured level of HBc antigen for HBV (Hepatitis B Virus).
23017	HBe antigen for Hepatitis B Virus	Measured level of HBe antigen for HBV (Hepatitis B Virus).
23018	Core antigen for Hepatitis C Virus	Measured level of Core antigen for HCV (Hepatitis C Virus).
23019	NS3 antigen for Hepatitis C Virus	Measured level of NS3 antigen for HCV (Hepatitis C Virus).
23020	p22 antigen for Toxoplasma gondii	Measured level of p22 antigen for T. gondii (Toxoplasma gondii).
23021	sag1 antigen for Toxoplasma gondii	Measured level of sag1 antigen for T. gondii (Toxoplasma gondii).
23022	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Measured level of HTLV-1 gag antigen for HTLV-1 (Human T-Lymphotropic Virus 1).
23023	HTLV-1 env antigen for Human T-Lymphotropic Virus 1	Measured level of HTLV-1 env antigen for HTLV-1 (Human T-Lymphotropic Virus 1).
23024	HIV-1 gag antigen for Human Immunodeficiency Virus	Measured level of HIV-1 gag antigen for HIV-1 (Human Immunodeficiency Virus).
23025	HIV-1 env antigen for Human Immunodeficiency Virus	Measured level of HIV-1 env antigen for HIV-1 (Human Immunodeficiency Virus).
23026	BK VP1 antigen for Human Polyomavirus BKV	Measured level of BK VP1 antigen for BKV (Human Polyomavirus BKV).
23027	JC VP1 antigen for Human Polyomavirus JCV	Measured level of JC VP1 antigen for JCV (Human Polyomavirus JCV).
23028	MC VP1 antigen for Merkel Cell Polyomavirus	Measured level of MC VP1 antigen for MCV (Merkel Cell Polyomavirus).
23029	L1 antigen for Human Papillomavirus type-16	Measured level of L1 antigen for HPV 16 (Human Papillomavirus type-16).
23030	E6 antigen for Human Papillomavirus type-16	Measured level of E6 antigen for HPV 16 (Human Papillomavirus type-16).
23031	E7 antigen for Human Papillomavirus type-16	Measured level of E7 antigen for HPV 16 (Human Papillomavirus type-16).
23032	L1 antigen for Human Papillomavirus type-18	Measured level of L1 antigen for HPV 18 (Human Papillomavirus type-18).
23033	momp D antigen for Chlamydia trachomatis	Measured level of momp D antigen for C. trachomatis (Chlamydia trachomatis).
23034	momp A antigen for Chlamydia trachomatis	Measured level of momp A antigen for C. trachomatis (Chlamydia trachomatis).
23035	tarp-D F1 antigen for Chlamydia trachomatis	Measured level of tarp-D F1 antigen for C. trachomatis (Chlamydia trachomatis).
23036	tarp-D F2 antigen for Chlamydia trachomatis	Measured level of tarp-D F2 antigen for C. trachomatis (Chlamydia trachomatis).
23037	PorB antigen for Chlamydia trachomatis	Measured level of PorB antigen for C. trachomatis (Chlamydia trachomatis).
23038	pGP3 antigen for Chlamydia trachomatis	Measured level of pGP3 antigen for C. trachomatis (Chlamydia trachomatis).
23039	CagA antigen for Helicobacter pylori	Measured level of CagA antigen for H. pylori (Helicobacter pylori).
23040	VacA antigen for Helicobacter pylori	Measured level of VacA antigen for H. pylori (Helicobacter pylori).
23041	OMP antigen for Helicobacter pylori	Measured level of OMP antigen for H. pylori (Helicobacter pylori).
23042	GroEL antigen for Helicobacter pylori	Measured level of GroEL antigen for H. pylori (Helicobacter pylori).
23043	Catalase antigen for Helicobacter pylori	Measured level of Catalase antigen for H. pylori (Helicobacter pylori).
23044	UreA antigen for Helicobacter pylori	Measured level of UreA antigen for H. pylori (Helicobacter pylori).
23045	Very nervous mood over last week	Participants were asked:<p> "Over the past week have you: Been very nervous?"
23046	Down in dumps over last week	Participants were asked: <p> "Over the past week have you: Felt so down in the dumps that nothing could cheer you up?"
23047	Felt calm over last week	Participants were asked: <p> "Over the past week have you: Felt calm and peaceful?"
23048	Antigen assay date	Data that antigen assay was conducted.
23049	Antigen assay QC indicator	Quality control indicator for antigen assay.
23050	HSV-1 seropositivity for Herpes Simplex virus-1	HSV-1 seropositivity for Herpes Simplex virus-1 <p>Defined as positive if: antigen 1gG > 150.<br>
23051	HSV-2 seropositivity for Herpes Simplex virus-2	HSV-2 seropositivity for Herpes Simplex virus-2 <p>Defined as positive if: antigen 2mgG unique > 150.<br>
23052	VZV seropositivity for Varicella Zoster Virus 	VZV seropositivity for Varicella Zoster Virus <p>Defined as positive if: antigen gE / gl > 100.<br>
23053	EBV seropositivity for Epstein-Barr Virus	EBV seropositivity for Epstein-Barr Virus <p>Defined as positive if: two or more of antigen VCA p18 > 250, antigen EBNA-1 > 250, antigen ZEBRA > 100, antigen EA-D > 100.<br>
23054	CMV seropositivity for Human Cytomegalovirus	CMV seropositivity for Human Cytomegalovirus <p>Defined as positive if: two or more of antigen pp150 Nter > 100, antigen pp 52 > 150, antigen pp 28 > 200.<br>
23055	HHV-6 overall seropositivity for Human Herpesvirus-6	HHV-6 overall seropositivity for Human Herpesvirus-6 <p>Defined as positive if: one or more of antigen IE1A > 100, antigen IE1B > 100, antigen p101 k > 100.<br>
23056	HHV-6A seropositivity for Human Herpesvirus-6	HHV-6A seropositivity for Human Herpesvirus-6 <p>Defined as positive if: antigen IE1A > 100.<br>
23057	HHV-6B seropositivity for Human Herpesvirus-6	HHV-6B seropositivity for Human Herpesvirus-6 <p>Defined as positive if: antigen IE1B > 100.<br>
23058	HHV-7 seropositivity for Human Herpesvirus-7	HHV-7 seropositivity for Human Herpesvirus-7 <p>Defined as positive if: antigen U14 > 100.<br>
23059	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus <p>Defined as positive if: either antigen LANA > 100 or antigen K8.1 > 175.<br>
23060	HBV seropositivity for Hepatitis B Virus	HBV seropositivity for Hepatitis B Virus <p>Defined as positive if: both antigen HBc > 100 and antigen HBe > 150.<br>
23061	HCV seropositivity for Hepatitis C Virus	HCV seropositivity for Hepatitis C Virus <p>Defined as positive if: both antigen Core > 150 and antigen NS3 > 150.<br>
23062	T. gondii seropositivity for Toxoplasma gondii	T. gondii seropositivity for Toxoplasma gondii <p>Defined as positive if: either antigen p22 > 100 or antigen sag1 > 160.<br>
23063	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1 <p>Defined as positive if: either antigen HTLV-1 gag > 1500 or antigen HTLV-1 env > 150.<br>
23064	HIV-1 seropositivity for Human Immunodeficiency Virus	HIV-1 seropositivity for Human Immunodeficiency Virus <p>Defined as positive if: both antigen HIV-1 gag > 600 and antigen HIV-1 env > 150.<br>
23065	BKV seropositivity for Human Polyomavirus BKV	BKV seropositivity for Human Polyomavirus BKV <p>Defined as positive if: antigen BK VP1 > 250.<br>
23066	JCV seropositivity for Human Polyomavirus JCV	JCV seropositivity for Human Polyomavirus JCV <p>Defined as positive if: antigen JC VP1 > 250.<br>
23067	MCV seropositivity for Merkel Cell Polyomavirus	MCV seropositivity for Merkel Cell Polyomavirus <p>Defined as positive if: antigen MC VP1 > 250.<br>
23068	HPV 16 Definition I seropositivity for Human Papillomavirus type-16	HPV 16 Definition I seropositivity for Human Papillomavirus type-16 <p>Defined as positive if: antigen L1 > 175.<br>
23069	HPV 18 seropositivity for Human Papillomavirus type-18	HPV 18 seropositivity for Human Papillomavirus type-18 <p>Defined as positive if: antigen L1 > 175.<br>
23070	C. trachomatis Definition I seropositivity for Chlamydia trachomatis	C. trachomatis Definition I seropositivity for Chlamydia trachomatis <p>Defined as positive if: antigen pGP3 > 200.<br>
23071	C. trachomatis Definition II seropositivity for Chlamydia trachomatis	C. trachomatis Definition II seropositivity for Chlamydia trachomatis <p>Defined as positive if: two or more of (the maximum of antigen momp A and antigen momp D) > 100, tarp-D F1 > 100, tarp-D F2 > 100, porB > 80. <br> <p>Data is only provided for this field in cases where the participant is seronegative under Definition I in ~F23070~, which should used be used as the main definition for seropositivity for Chlamydia trachomatis.<br>
23072	Downhearted and depressed over last week	Participants were asked: <p> "Over the past week have you: Felt downhearted and depressed?"
23073	H. pylori Definition I seropositivity for Helicobacter pylori	H. pylori Definition I seropositivity for Helicobacter pylori <p>Defined as positive if: two or more of antigen CagA > 400, antigen VacA > 100, antigen OMP > 170, antigen GroEL > 80, antigen Catalase > 180, antigen UreA > 130.<br>
23074	H. pylori Definition II seropositivity for Helicobacter pylori	H. pylori Definition II seropositivity for Helicobacter pylori <p>Defined as positive if: two or more of antigen VacA > 100, antigen OMP > 170, antigen GroEL > 80, antigen Catalase > 180, antigen UreA > 130.<br> <p> The CagA antigen was excluded from the data generated in the 2nd week because of a lab-based handling mistake. Hence, this second definition is available without the CagA antigen. <br>
23075	HPV 16 Definition II seropositivity for Human Papillomavirus type-16	HPV 16 Definition II seropositivity for Human Papillomavirus type-16 <p>Defined as positive if: either antigen E6 > 120 or antigen E7 > 150.<br>
23076	Happy over last week	Participants were asked: <p> "Over the past week have you: Been happy?"
23077	Device used for typing	Participants were asked: <p> "How are you typing characters into the computer?" <p> This was done because the device characteristics may have an affect on the speed of their subsequent actions in the cognitive tests.
23078	Device used for pointing	Participants were asked: <p> "What are you using to point on the screen?" <p> This was done because the device characteristics may have an affect on the speed of their subsequent actions in the cognitive tests.
23079	When mood described	Indicates the time that a participant connected to the online questionnaire system and described their mood over the last week prior to completing the cognitive questionnaire. Note that participants could complete the section of the cognitive questionnaire over multiple sessions so some people have multiple values for this field which must be linked to the individual sections by examing their timestamps.
23160	Population-level FE variants, PLINK format	Population-level FE variant results encoded in PLINK format. To download this information use the ukbgene utility with the command <pre> ukbgene efe -c1 </pre> <p>using any recent valid keyfile for the Application. The associated fam files can be downloaded with the command <pre> ukbgene efe -c1 -m </pre> <p> Note that, unlike the genotyped and imputed information, all of the data for the whole genome is stored in a single file with properties: <p>Size: 111905503923 Bytes. <br>MD5: a5a922cd24a79774c715f91684731e49 <p>The corresponding bim file is available as ~R1534~.
23161	Exome FE variant call files (VCFs)	Exome FE variant call files (VCFs). <p> These files are typically around 45MB per participant. <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23162	Exome FE variant calls indices	Exome FE variant calls indices <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23163	Exome FE CRAM files	Exome FE CRAM files <p> These files are typically around 2GB per participant. <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23164	Exome FE CRAM indices	Exome FE CRAM indices <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23170	INVALID Population-level SPB variants, PLINK format	This dataset was withdrawn in late 2019 after defects were discovered. <p> Population-level SPB variant results encoded in PLINK format. To download this information use the ukbgene utility with the command <pre> ukbgene evc -c1 </pre> <p>using any recent valid keyfile for the Application. The associated fam files can be downloaded with the command <pre> ukbgene evc -c1 -m </pre> <p> Note that, unlike the genotyped and imputed information, all of the data for the whole genome is stored in a single file with properties: <p>Size: 130504562763 Bytes <br>MD5: ed7335777fc5128978cdb314957131ce <p> The corresponding bim file is available as ~R910~.
23171	INVALID Exome SPB variant call files (VCFs)	This dataset was withdrawn in late 2019 after defects were discovered. <p> Exome SPB variant call files (VCFs) <p> These files are typically around 70MB per participant. <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23172	INVALID Exome SPB variant calls indices	This dataset was withdrawn in late 2019 after defects were discovered. <p> Variant calls indices <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23173	INVALID Exome SPB CRAM files	This dataset was withdrawn in late 2019 after defects were discovered. <p> Exome SPB CRAM files <p> These files are typically around 800MB per participant. <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23174	INVALID Exome SPB CRAM indices	This dataset was withdrawn in late 2019 after defects were discovered. <p> CRAM indices <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23176	Exome SPB variant call files (VCFs)	Exome SPB variant call files (VCFs) <p> These files are typically around 70MB per participant. <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23177	Exome SPB variant calls indices	Variant calls indices <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23178	Exome SPB CRAM files	Exome SPB CRAM files <p> These files are typically around 800MB per participant. <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23179	Exome SPB CRAM indices	CRAM indices <p>Files are downloaded using the ukbfetch utility as described in ~R644~.
23181	BGI WGS CRAM files	This field contains the sequencing results returned by BGI during the proof-of-concept exercise for whole genome sequencing. Data has been mapped to GRCh38/HG38 and is made available in CRAM format
23182	BGI WGS CRAM indices	This field contains the CRAM indexes to the sequencing results returned by BGI during the proof-of-concept exercise for whole genome sequencing. Data has been mapped to GRCh38/HG38.
23200	L1-L4 area	Value output by DXA system
23201	L1-L4 average height	Value output by DXA system
23202	L1-L4 average width	Value output by DXA system
23203	L1-L4 BMC (bone mineral content)	Value output by DXA system
23204	L1-L4 BMD (bone mineral density)	Value output by DXA system
23205	L1-L4 BMD (bone mineral density) T-score	Value output by DXA system
23206	Femur lower neck BMD (bone mineral density) (right)	Value output by DXA system
23207	Femur lower neck BMD (bone mineral density) T-score (right)	Value output by DXA system
23208	Femur neck BMD (bone mineral density) (right)	Value output by DXA system
23209	Femur neck BMD (bone mineral density) T-score (right)	Value output by DXA system
23210	Femur shaft BMD (bone mineral density) (right)	Value output by DXA system
23211	Femur shaft BMD (bone mineral density) T-score (right)	Value output by DXA system
23212	Femur total BMD (bone mineral density) (right)	Value output by DXA system
23213	Femur total BMD (bone mineral density) T-score (right)	Value output by DXA system
23214	Femur troch BMD (bone mineral density) (right)	Value output by DXA system
23215	Femur troch BMD (bone mineral density) T-score (right)	Value output by DXA system
23216	Femur upper neck BMD (bone mineral density) (right)	Value output by DXA system
23217	Femur upper neck BMD (bone mineral density) T-score (right)	Value output by DXA system
23218	Femur wards BMD (bone mineral density) (right)	Value output by DXA system
23219	Femur wards BMD (bone mineral density) T-score (right)	Value output by DXA system
23220	Arm BMC (bone mineral content) (left)	Value output by DXA system
23221	Arm BMD (bone mineral density) (left)	Value output by DXA system
23222	Arm BMC (bone mineral content) (right)	Value output by DXA system
23223	Arm BMD (bone mineral density) (right)	Value output by DXA system
23224	Arms BMC (bone mineral content)	Value output by DXA system
23225	Arms BMD (bone mineral density)	Value output by DXA system
23226	Head BMD (bone mineral density)	Value output by DXA system
23227	Leg BMD (bone mineral density) (left)	Value output by DXA system
23228	Leg BMC (bone mineral content) (right)	Value output by DXA system
23229	Leg BMD (bone mineral density) (right)	Value output by DXA system
23230	Legs BMC (bone mineral content)	Value output by DXA system
23231	Legs BMD (bone mineral density)	Value output by DXA system
23232	Pelvis BMD (bone mineral density)	Value output by DXA system
23233	Ribs BMD (bone mineral density)	Value output by DXA system
23234	Spine BMD (bone mineral density)	Value output by DXA system
23235	Total BMC (bone mineral content)	Value output by DXA system
23236	Total BMD (bone mineral density)	Value output by DXA system
23237	Total BMD (bone mineral density) (left)	Value output by DXA system
23238	Total BMD (bone mineral density) (right)	Value output by DXA system
23239	Total BMD (bone mineral density) T-score	Value output by DXA system
23240	Trunk BMC (bone mineral content)	Value output by DXA system
23241	Trunk BMD (bone mineral density)	Value output by DXA system
23242	Trunk BMD (bone mineral density) (left)	Value output by DXA system
23243	Trunk BMD (bone mineral density) (right)	Value output by DXA system
23244	Android bone mass	Value output by DXA system
23245	Android fat mass	Value output by DXA system
23246	Android lean mass	Value output by DXA system
23247	Android tissue fat percentage	Value output by DXA system
23248	Android total mass	Value output by DXA system
23249	Arm fat mass (left)	Value output by DXA system
23250	Arm lean mass (left)	Value output by DXA system
23251	Arm tissue fat percentage (left)	Value output by DXA system
23252	Arm total mass (left)	Value output by DXA system
23253	Arm fat mass (right)	Value output by DXA system
23254	Arm lean mass (right)	Value output by DXA system
23255	Arm tissue fat percentage (right)	Value output by DXA system
23256	Arm total mass (right)	Value output by DXA system
23257	Arms fat mass	Value output by DXA system
23258	Arms lean mass	Value output by DXA system
23259	Arms tissue fat percentage	Value output by DXA system
23260	Arms total mass	Value output by DXA system
23261	Gynoid bone mass	Value output by DXA system
23262	Gynoid fat mass	Value output by DXA system
23263	Gynoid lean mass	Value output by DXA system
23264	Gynoid tissue fat percentage	Value output by DXA system
23265	Gynoid total mass	Value output by DXA system
23266	Leg fat mass (left)	Value output by DXA system
23267	Leg lean mass (left)	Value output by DXA system
23268	Leg tissue fat percentage (left)	Value output by DXA system
23269	Leg total mass (left)	Value output by DXA system
23270	Leg fat mass (right)	Value output by DXA system
23271	Leg lean mass (right)	Value output by DXA system
23272	Leg tissue fat percentage (right)	Value output by DXA system
23273	Leg total mass (right)	Value output by DXA system
23274	Legs fat mass	Value output by DXA system
23275	Legs lean mass	Value output by DXA system
23276	Legs tissue fat percentage	Value output by DXA system
23277	Legs total mass	Value output by DXA system
23278	Total fat mass	Value output by DXA system
23279	Total fat-free mass	Value output by DXA system
23280	Total lean mass	Value output by DXA system
23281	Total tissue fat percentage	Value output by DXA system
23282	Total tissue mass	Value output by DXA system
23283	Total mass	Value output by DXA system
23284	Trunk fat mass	Value output by DXA system
23285	Trunk lean mass	Value output by DXA system
23286	Trunk tissue fat percentage	Value output by DXA system
23287	Trunk total mass	Value output by DXA system
23288	VAT (visceral adipose tissue) mass	Value output by DXA system
23289	VAT (visceral adipose tissue) volume	Value output by DXA system
23290	Femur shaft BMD (bone mineral density) (left)	Value output by DXA system
23291	Femur total BMD (bone mineral density) (left)	Value output by DXA system
23292	Femur upper neck BMD (bone mineral density) (left)	Value output by DXA system
23293	Femur total BMD (bone mineral density) T-score (left)	Value output by DXA system
23294	Femur lower neck BMD (bone mineral density) T-score (left)	Value output by DXA system
23295	Femur troch BMD (bone mineral density) (left)	Value output by DXA system
23296	Femur upper neck BMD (bone mineral density) T-score (left)	Value output by DXA system
23297	Femur wards BMD (bone mineral density) (left)	Value output by DXA system
23298	Femur troch BMD (bone mineral density) T-score (left)	Value output by DXA system
23299	Femur neck BMD (bone mineral density) (left)	Value output by DXA system
23300	Femur neck BMD (bone mineral density) T-score (left)	Value output by DXA system
23301	Femur wards BMD (bone mineral density) T-score (left)	Value output by DXA system
23302	Femur lower neck BMD (bone mineral density) (left)	Value output by DXA system
23303	Femur shaft BMD (bone mineral density) T-score (left)	Value output by DXA system
23304	Trunk bone area	Trunk area
23305	Head bone area	Head area
23306	Head BMC (bone mineral content)	Head BMC
23307	Pelvis bone area	Pelvis area
23308	Pelvis BMC (bone mineral content)	Pelvis BMC
23309	Ribs bone area	Ribs area
23310	Ribs BMC (bone mineral content)	Ribs BMC
23311	Spine bone area	Spine area
23312	Spine BMC (bone mineral content)	Spine BMC
23313	Arm bone area (left)	Arm area (left)
23314	Arm bone area (right)	Arm area (right)
23315	Leg bone area (left)	Leg area (left)
23316	Leg bone area (right)	Leg area (right)
23317	Arms combined bone area	Arms combined area is the sum of ~F23313~ and ~F23314~. It has been presented in addition to the component parts because the DXA device did not always return the separate Left and Right values.
23318	Legs combined bone area	Legs combined area is the sum of ~F23315~ and ~F23316~. It has been presented in addition to the component parts because the DXA device did not always return the separate Left and Right values.
23320	Leg BMC (bone mineral content) (left)	Value output by DXA system
23321	Values wanted	This is an array of values indicating the digit that the participant would have entered if they had correctly matched the symbols above and below.
23322	Values entered	Digits entered by participant
23323	Number of symbol digit matches attempted	Number of symbol digit matches attempted before the participant timed-out.
23324	Number of symbol digit matches made correctly	This is the number of symbols correctly matched to digits by the participant. <p> Note that it would be possible to get a high score here simply by repeated entering "1" very quickly as it would be correct 1/8 of the time and a large number of attempts could be made. For this reason, the score must be interpreted alongside ~F6774~ which shows the total number of attempts.
24003	Nitrogen dioxide air pollution; 2010	Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2010.
24004	Nitrogen oxides air pollution; 2010	Nitrogen oxides; Land Use Regression (LUR) estimate for annual average 2010.
24005	Particulate matter air pollution (pm10); 2010	PM10 (particulate matter with diameter less than or equal to 10 micrometres); Land Use Regression (LUR) estimate for annual average 2010.
24006	Particulate matter air pollution (pm2.5); 2010	PM10 (particulate matter with diameter less than or equal to 2.5 micrometres); Land Use Regression (LUR) estimate for annual average 2010.
24007	Particulate matter air pollution (pm2.5) absorbance; 2010	PM2.5 absorbance. This is ameasurement of the blackness of PM2.5 filters; a proxy for elemental carbon, which is the dominant light absorbing substanc. Land Use Regression (LUR) estimate for annual average 2010
24008	Particulate matter air pollution 2.5-10um; 2010	PM coarse (particulate matter betweem 2.5 and 10 micrometres); Land Use Regression (LUR) estimate for annual average 2010.
24009	Traffic intensity on the nearest road	Traffic intensity (average total number of motor vehicles per 24 hours) on the nearest road based upon local road network measured in vehicles per day. Traffic count data is from the Road Traffic Statistics Branch at the Department for Transport attached to the local road network. Traffic data for unmonitored links were estimates based on surrounding monitored links. The minimum traffic count was set to 500 vehicles per day. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009.
24010	Inverse distance to the nearest road	Inverse distance to the nearest road based upon local road network. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009.
24011	Traffic intensity on the nearest major road	Traffic intensity is the average total number of motor vehicles per 24 hours on the nearest major road based upon a local road network. Traffic count data is from the Road Traffic Statistics Branch at the Department for Transport attached to the local road network. Traffic data for unmonitored links were estimates based on surrounding monitored links. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009. The definition of a major road for the local road network is a road with traffic intensity greater than 5000 motor vehicles per 24 hours.
24012	Inverse distance to the nearest major road	Inverse distance to the nearest major road based upon a local road network. The definition of a major road for the local road network is a road with traffic intensity greater than 5000 motor vehicles per 24 hours. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009.
24013	Total traffic load on major roads	Total traffic load (average total number of motor vehicles per 24 hours * length of road segment) on major roads in a 100 metres circular buffer of residential address based upon local road network. The definition of a major road for the local road network is a road with traffic intensity greater than 5000 motor vehicles per 24 hours. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009.
24014	Close to major road	Indicator variable indicating whether a residential address is within 50 metres of a class 1 or 2 type road and/or within 100 metres of a class 0 road, based upon central road network. The Central road network is taken from Eurostreets version 3.1 digital road network (scale 1:10000), derived from the TeleAtlas MultiNet TM dataset for the year 2008. All roads of class 0, 1 and 2 (motorways, main roads of major importance and other main roads) were classified as major roads. Based upon local knowledge classes 3 and 4 (secondary roads and local connecting roads) were also classified as major roads.
24015	Sum of road length of major roads within 100m	Sum of road length of major roads from the central road network within a 100 metre circular buffer of residential address. The Central road network is taken from Eurostreets version 3.1 digital road network (scale 1:10000), derived from the TeleAtlas MultiNet TM dataset for the year 2008. All roads of class 0, 1and 2 (motorways, main roads of major importance and other main roads) were classified as major roads. Based upon local knowledge classes 3 and 4 (secondary roads and local connecting roads) were also classified as major roads.
24016	Nitrogen dioxide air pollution; 2005	Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2005.
24017	Nitrogen dioxide air pollution; 2006	Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2006.
24018	Nitrogen dioxide air pollution; 2007	Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2007.
24019	Particulate matter air pollution (pm10); 2007	PM10 (particulate matter with diameter less than or equal to 10 micrometres); Land Use Regression (LUR) estimate for annual average 2007.
24020	Average daytime sound level of noise pollution	LDay (day equivalent level): Average sound level pressure LAeq over the 12-hour period 07:00 to 19:00.
24021	Average evening sound level of noise pollution	LEve (evening equivalent level): Average sound level pressure LAeq between the hours of 19:00 to 23:00.
24022	Average night-time sound level of noise pollution	LNight (night equivalent level): Average sound level pressure LAeq overnight 23:00 to 07:00.
24023	Average 16-hour sound level of noise pollution	LAeq,16hr (A-weighted equivalent sound level): Average sound level pressure LAeq between the hours of 07:00 to 23:00.
24024	Average 24-hour sound level of noise pollution	LDen: (day-evening-night equivalent level): A-weighted Leq noise level measured over the 24 hour period with a 10 decibel penality added to the levels between 23:00 and 07:00.
24025	Included in pollution study	This field indicates whether a participant was included in the residential air/noise pollution studies. Participants without a value here were not in the studies.
24500	Greenspace percentage, buffer 1000m	The percentage of the home location buffer classed as 'Greenspace', as a proportion of all land-use types, and with home location data buffered at 1000m. <p> Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England. <p> Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as gs1000_0 and gs1000_1.
24501	Domestic garden percentage, buffer 1000m	The percentage of the home location buffer classed as 'Domestic garden', as a proportion of all land-use types, and with home location data buffered at 1000m. <p> Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England. <p> Further details of the methods used to derive these data can be found in ~R15374~, where his field is derived from variables referred to as grd1000_0 and grd1000_1.
24502	Water percentage, buffer 1000m	The percentage of the home location buffer classed as 'Water', as a proportion of all land-use types, and with home location data buffered at 1000m. <p> Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England. <p> Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as wa1000_0 and wa1000_1.
24503	Greenspace percentage, buffer 300m	The percentage of the home location buffer classed as 'Greenspace', as a proportion of all land-use types, and with home location data buffered at 300m. <p> Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England. <p> Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as gs300_0 and gs300_1.
